id,e2_1,e2_2,e2_3,e2_4,e2_5,e2_6,e2_7,e2_8,SMILES,pkbhx
id001,-0.53,0.11,1.57,1.39,-0.26,-1.25,-0.58,1.82,[O:1]=[As](c1ccccc1)(c1ccccc1)c1ccccc1,4.15
id002,-1.82,0.11,3.3,0.46,-0.85,-1.48,-1.08,7.88,C1CN2CCC[N:1]=C2C1,3.89
id003,-1.87,0.04,3.32,0.16,-0.81,-1.46,-1.09,8.61,C1C[N:1]=C2CCCCCN2C1,3.85
id004,-0.99,0.02,2.16,1.23,-0.48,-1.38,-0.73,3.44,[O:1]=P(N1CCCCC1)(N1CCCCC1)N1CCCCC1,3.74
id005,-1.22,0.28,2.52,0.91,-0.7,-1.19,-0.89,4.63,COc1cc[n+]([O-:1])cc1,3.7
id006,-0.95,0.11,2.22,1.38,-0.57,-1.47,-0.8,3.43,CCP(=[O:1])(CC)CC,3.66
id007,-0.99,0.1,2.26,1.37,-0.56,-1.49,-0.8,3.56,CCCCP(=[O:1])(CCCC)CCCC,3.63
id008,-1.08,0.04,2.29,1.22,-0.53,-1.48,-0.81,3.88,CN(C)P(=[O:1])(N(C)C)N(C)C,3.6
id009,-0.99,0.12,2.28,1.36,-0.57,-1.47,-0.8,3.6,CCCCCCCCP(=[O:1])(CCCCCCCC)CCCCCCCC,3.59
id010,-0.97,0.16,2.24,1.36,-0.57,-1.47,-0.82,3.49,CP(C)(C)=[O:1],3.53
id011,-1.7,0.19,3.17,0.48,-0.86,-1.54,-1.07,7.76,CN1CCCN2CCC[N:1]=C12,3.48
id012,-1.7,0.08,3.79,1.15,-0.82,-2.05,-1.25,8.08,Cc1c[n:1]c2c(ccc3c(C)c(C)c[n:1]c23)c1C,3.46
id013,-0.89,0.28,2.14,1.23,-0.59,-1.23,-0.76,3.3,C[Se](C)=[O:1],3.43
id014,-0.89,0.08,2.07,1.28,-0.51,-1.42,-0.75,3.27,CN(C)P(C)(=[O:1])N(C)C,3.41
id015,-1.59,0.05,3.69,1.3,-0.73,-2.02,-1.22,7.43,Cc1cc[n:1]c2c1ccc1c(C)cc[n:1]c21,3.34
id016,-0.7,0.36,1.97,1.46,-0.58,-1.27,-0.7,2.64,[O:1]=[Se](Cc1ccccc1)Cc1ccccc1,3.3
id017,-1.59,0.1,3.53,1.18,-0.76,-1.91,-1.18,7.4,c1ccc(cc1)-c1cc[n:1]c2c1ccc1c(cc[n:1]c21)-c1ccccc1,3.26
id018,-1.38,0.28,2.79,1,-0.86,-1.61,-1,5.72,CCCC[N+](CCCC)(CCCC)[N-]C#[N:1],3.24
id019,-1.89,0.04,3.28,0.06,-0.85,-1.46,-1.05,8.97,CN(C)C(=[NH:1])N(C)C,3.2
id020,-0.77,0.13,1.82,1.29,-0.42,-1.19,-0.62,2.33,CCOP(=[O:1])(N(C)C)N(C)C,3.18
id021,-0.74,0.03,1.81,1,-0.33,-1.26,-0.63,2.82,[O:1]=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.16
id022,-1.88,-0.01,3.15,-0.09,-0.78,-1.36,-1,8.99,C[N:1]=C(N(C)C)N(C)C,3.16
id023,-1.2,0.27,2.5,0.89,-0.66,-1.17,-0.88,4.6,Cc1cc[n+]([O-:1])cc1,3.12
id024,-1.73,0.06,3.04,0.42,-0.82,-1.45,-1.02,7.35,C1CCC(CC1)c1c[n:1]cn1C1CCCCC1,3.12
id025,-1.55,0.07,3.51,1.16,-0.72,-1.89,-1.16,7.25,c1c[n:1]c2c(c1)ccc1ccc[n:1]c21,3.1
id026,-0.93,0.06,2.08,1.31,-0.5,-1.4,-0.74,3.23,CCP(=[O:1])CC,3.06
id027,-0.97,0.11,2.15,1.28,-0.52,-1.35,-0.75,3.21,[O:1]=P(C1CCCCC1)C1CCCCC1,3.05
id028,-1.79,0.08,3.03,0.27,-0.83,-1.39,-1.02,7.64,C1CCN(C1)c1cc[n:1]cc1,2.93
id029,-1.01,0.23,2.29,1.1,-0.61,-1.29,-0.79,3.84,CN(C)C=NC(=[O:1])N(C)C,2.92
id030,-1.41,0.21,2.87,0.99,-0.76,-1.49,-1.03,5.55,CN(C)C1=CC(=[O:1])CC(C)(C)C1,2.92
id031,-1.17,0.27,2.42,0.87,-0.65,-1.12,-0.86,4.46,Cc1ccc[n+]([O-:1])c1,2.92
id032,-1.78,0.06,3.02,0.24,-0.84,-1.38,-1.01,7.67,CCN(CC)c1cc[n:1]cc1,2.89
id033,-1.16,0.25,2.4,0.86,-0.64,-1.12,-0.85,4.42,[O-:1][n+]1ccc(cc1)-c1ccccc1,2.85
id034,-0.93,0.13,1.89,1.05,-0.52,-1.27,-0.69,3.24,CCCCOP(=[O:1])(CC)OCCCC,2.84
id035,-1.08,-0.09,1.9,0.82,-0.44,-1.38,-0.71,3.84,CCOP(C)(=[O:1])OCC,2.81
id036,-1.38,0.08,2.8,0.97,-0.68,-1.54,-0.98,5.58,CN1N(C(=[O:1])C=C1C)c1ccccc1,2.8
id037,-1.77,0.06,3,0.25,-0.84,-1.38,-1.01,7.61,CN(C)c1cc[n:1]cc1,2.8
id038,-1.12,0.16,2.31,0.97,-0.6,-1.29,-0.84,4.3,CN1CCCN(C)C1=[O:1],2.79
id039,-1.55,0.19,2.82,0.34,-0.8,-1.32,-0.95,7.26,COCC[N:1]=CN(C)C,2.74
id040,-0.76,0.13,1.83,1.28,-0.48,-1.28,-0.68,2.65,CCCOP(C)=[O:1],2.73
id041,-1.7,0.06,2.99,0.06,-0.75,-1.26,-0.97,8.08,C[N:1]=C(N(C)C)c1ccc(C)cc1,2.72
id042,-1.13,0.26,2.34,0.85,-0.62,-1.08,-0.83,4.27,[O-:1][n+]1ccccc1,2.72
id043,-1.64,0.05,2.85,0.34,-0.76,-1.35,-0.96,6.99,Cn1cc[n:1]c1,2.72
id044,-1.51,0.04,2.39,-0.1,-0.65,-0.92,-0.72,6.36,C1C[N:1]2CCC1CC2,2.71
id045,-1.55,0.14,2.78,0.29,-0.77,-1.27,-0.94,7.15,C[N:1]=CN(C)C,2.7
id046,-1.74,0.07,2.95,0.26,-0.82,-1.36,-1,7.49,CNc1cc[n:1]cc1,2.69
id047,-1.77,0.05,2.98,0.23,-0.82,-1.36,-1,7.55,CC1CCN(CC1)c1cc[n:1]cc1,2.68
